ASIN Product_ID Product_Group Sales_Rank Estimated_Number_of_Sales Purchase_Price Buy_Box_Landed Low_New_Fba_Price Low_New_Mfn_Price Sell_Price Fulfillment_Subtotal Cost_Sub_Total Inbound_Shipping_Estimate Package_Weight Package_Height Package_Length Package_Width Package_Quantity Total_Offers New_FBA_Num_Offers New_MFN_Num_Offers Min Mult UM CA BWOT Class 
B009YMZCA8 96069179474 Home_Garden 1129849 5 14 28 28 28 28 5.47 5.47 0.58 1.45 3.5 9.2 7 1 0 0 0 2 1 EA GG SON No 
B00AMLR9QA 96069179467 Home_Garden 1010661 5 14 28 28 28 28 5.47 5.47 0.55 1.38 3.58 9.37 7.17 1 0 0 0 2 1 EA GG SON No 
B00ATFEGWO 96069454045 Lawn_and_Garden 54209 30 5 12.49 10 12.49 12.49 3.33 5.2 0.02 0.05 0.8 12.9 4.5 1 1 0 1 3 1 EA EF SSF No 
B00B9GE1J0 96069561293 Lawn_and_Garden 256706 5 15 13.88 30 13.88 13.88 4.98 7.06 0.46 1.15 3.1 9.8 6.5 1 4 0 4 2 1 EA EF SSF No 
B00B9JE32C 96069602590 Lawn_and_Garden 28553 60 37 71.99 71.99 79.99 71.99 10.37 21.17 1.74 4.35 3.3 24.3 9.5 1 4 3 1 1 1 EA GG SON No 
B00BFYIQTM 96069104018 Home_Improvement 461750 5 20 32.04 32.04 40 32.04 5.99 10.8 0.82 2.06 4.4 11.9 9.2 1 5 5 0 2 2 EA GG SON No 
B00CAOAIF6 96069222224 Home_Improvement 76675 1 6 13.99 12 13.99 13.99 5.56 7.66 0.54 1.35 5.1 9.9 7.1 1 5 0 5 12 12 EA ME SSD No 
B00CS5RAVM 96069629580 Lawn_and_Garden 117502 5 22 35.09 35.09 54.32 35.09 5.53 10.79 0.66 1.65 2.7 14.6 6.9 1 3 2 1 1 1 EA GG SON No 
B00CXY9714 96069603276 Lawn_and_Garden 176623 5 58.5 101.97 101.98 101.97 101.97 11.61 26.91 3.06 7.65 3.5 31.5 10.2 1 5 2 3 1 1 EA GG SON No 
B00CXYCG3A 96069602583 Lawn_and_Garden 204852 5 37 74 85.99 74 85.99 9.97 22.87 1.78 4.45 3.1 24.1 9.3 1 1 1 0 1 1 EA GG SON No 
B00CZCCXEC 96069222576 Kitchen 1267172 5 9 18.99 18.99 22.99 18.99 4.96 7.81 0.4 1 3.8 9 4.5 1 2 1 1 4 4 EA ME SSD No 
B00DYSLVK8 96069607328 Lawn_and_Garden 1960100 5 4.25 9.69 8.5 9.69 9.69 3.5 4.95 0.2 0.5 2.75 4 4 1 4 0 4 12 12 EA EF SSF No 
B00GRS87U4 96069135609 Home_Garden 4686086 5 9 16.42 16.42 18 16.42 3.55 6.01 0.18 0.45 1.3 11.9 11.8 1 2 2 0 2 1 EA ME SSD No 
B00GRS87V8 96069135807 Beauty 1788929 5 45 90 90 90 90 5.47 5.47 1.48 3.7 2 37.1 27.6 1 0 0 0 1 1 EA ME SSD No 
