ASIN,Product_ID,Product_Group,Sales_Rank,Estimated_Number_of_Sales,Purchase_Price,Buy_Box_Landed,Low_New_Fba_Price,Low_New_Mfn_Price,Sell_Price,Fulfillment_Subtotal,Cost_Sub_Total,Inbound_Shipping_Estimate,Package_Weight,Package_Height,Package_Length,Package_Width,Package_Quantity,Total_Offers,New_FBA_Num_Offers,New_MFN_Num_Offers,Min,Mult,UM,CA,BWOT,Class
B07TH8ZGDW,96069661092,Home,76675,1,7.5,17.49,19.39,17.49,17.49,5.45,8.07,0.8,2,2,6,6,6,2,1,1,3,3,EA,SE,SON,No        
B07TH9NV2J,96069681939,Home Improvement,3105659,5,3.5,10,10,7,10,3.34,4.84,0.06,0.15,2.17,6.73,5.63,6,1,1,0,4,4,EA,SE,SON,No        
B07THB494K,96069675464,Home,76675,1,9.5,20.83,20.83,19,20.83,5.48,8.6,0.8,2,4,9,4,6,1,1,0,2,1,EA,SE,SON,No        
B07THBF7F2,96069660064,Home,76675,1,8.5,17.61,17.61,17,17.61,4.98,7.62,0.61,1.53,1.81,10.35,10.2,6,1,1,0,2,1,EA,SE,SON,No        
B07THBGR6G,96069661108,Home Garden,6424259,5,7.5,16.67,16.67,15,16.67,4.96,7.46,0.35,0.87,1.89,10.08,7.68,6,1,1,0,3,3,EA,SE,SON,No        
B07THFQKX8,96069661115,Home,76675,1,7.5,15.58,15.58,15,15.58,4.94,7.28,0.33,0.82,1.46,8.66,7.17,6,2,2,0,3,3,EA,SE,SON,No        
B07THG8PWZ,96069661160,Home Garden,7234171,5,7.5,17.01,17.01,15,17.01,5.45,8,0.8,2,2,6,6,6,1,1,0,3,3,EA,SE,SON,No        
B07THGF3V5,96069661139,Home,76675,1,7.5,15.27,15.27,15,15.27,4.96,7.25,0.36,0.89,1.89,9.8,7.76,6,2,2,0,3,3,EA,SE,SON,No        
B07THGNY3X,96069699569,Home Garden,6395719,5,9,23.51,23.51,18,23.51,9.41,12.94,0.72,1.8,0.1,22.1,11.5,6,1,1,0,4,4,EA,SE,SON,No        
B07THH8RKV,96069660637,Kitchen,780174,5,5.5,14.75,14.75,11,14.75,5.54,7.75,0.44,1.1,4.21,10.63,6.85,6,1,1,0,4,4,EA,SE,SON,No        
